2015-07-17 15:14:07,832 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a024a67: startup date [Fri Jul 17 15:14:07 CEST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-07-17 15:14:08,596 | INFO  | PListStore:[C:\DEV\JMS\apache-activemq-5.10.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2015-07-17 15:14:08,612 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\DEV\JMS\apache-activemq-5.10.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2015-07-17 15:14:08,924 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-49625-1437138848799-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-07-17 15:14:08,939 | INFO  | Listening for connections at: tcp://AUXIW7001F:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-17 15:14:08,939 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-07-17 15:14:08,955 | INFO  | Listening for connections at: amqp://AUXIW7001F:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-17 15:14:08,955 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-07-17 15:14:08,955 | INFO  | Listening for connections at: stomp://AUXIW7001F:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-17 15:14:08,970 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-07-17 15:14:08,970 | INFO  | Listening for connections at: mqtt://AUXIW7001F:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-07-17 15:14:08,970 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-07-17 15:14:09,144 | INFO  | Listening for connections at ws://AUXIW7001F:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2015-07-17 15:14:09,144 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-07-17 15:14:09,144 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-49625-1437138848799-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-07-17 15:14:09,144 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-07-17 15:14:09,425 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-07-17 15:14:09,456 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-07-17 15:14:09,659 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-07-17 15:24:12,520 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp858818438-42
2015-07-17 15:55:10,079 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | HashSessionScavenger-0
2015-07-17 16:22:38,289 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:AUXIW7001F-49625-1437138848799-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-07-17 16:22:38,289 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-07-17 16:22:38,289 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-07-17 16:22:38,289 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-07-17 16:22:38,289 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-07-17 16:22:38,386 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-07-17 16:22:38,401 | INFO  | PListStore:[C:\DEV\JMS\apache-activemq-5.10.0\bin\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2015-07-17 16:22:38,401 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-07-17 16:22:38,401 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-07-17 16:22:38,401 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
